Millas_Por_Galon,Cilindros,Pais_Origen,Peso_En_Libras,Desplazamiento,Aceleracion,Nombre,Anyo,Caballo_De_Fuerza,Log10(var1/var2),Sqrt(var1)*exp(var2)/200,5 o 3,1/logn(var1/var2)*100,var2**2/var1
18.0,6,USA,2962,258.0,13.5,amc hornet sportabout (sw),1/01/1971,110.0,1.281285937468224,186112.85240281283,3,0.0066485940294251115,0.012153950033760972
22.0,4,USA,2408,140.0,19.0,chevrolet vega (sw),1/01/1971,72.0,0.867374434725409,135986.03464184402,3,0.005417626720578101,0.006644518272425249
19.0,6,USA,3282,250.0,15.0,pontiac firebird,1/01/1971,100.0,1.2218487496163564,234759.92291961508,3,0.0062133493455961185,0.010968921389396709
18.0,6,USA,3139,250.0,14.5,ford mustang,1/01/1971,88.0,1.2365720064370627,209020.5028892344,3,0.00634704488520105,0.011468620579802484
23.0,4,USA,2220,122.0,14.0,mercury capri 2000,1/01/1971,86.0,0.9402317949965101,118178.88039747202,3,0.006491630492608459,0.007207207207207207
28.0,4,Europe,2123,116.0,14.0,opel 1900,1/01/1971,90.0,0.9183299535486804,119247.42460887237,3,0.006491630492608459,0.007536504945831371
30.0,4,Europe,2074,79.0,19.5,peugeot 304,1/01/1971,70.0,0.6075924799279233,117800.7717883546,3,0.0053424449033140226,0.007714561234329798
30.0,4,Europe,2065,88.0,14.5,fiat 124b,1/01/1971,76.0,0.7831146699151936,116780.61113887336,3,0.00634704488520105,0.00774818401937046
31.0,4,Japan,1773,71.0,19.0,toyota corolla 1200,1/01/1971,65.0,0.5725047477662463,87512.14369861348,3,0.005417626720578101,0.009024252679075015
35.0,4,Japan,1613,72.0,18.0,datsun 1200,1/01/1971,69.0,0.6020599913279623,76961.36490597652,3,0.005581106265512472,0.009919404835709857
27.0,4,Europe,1834,97.0,19.0,volkswagen model 111,1/01/1971,60.0,0.7080181333134158,87387.74829154713,3,0.005417626720578101,0.008724100327153763
26.0,4,USA,1955,91.0,20.5,plymouth cricket,1/01/1971,70.0,0.6472875312653393,97442.90028219731,3,0.005203420985548809,0.008184143222506393
24.0,4,Japan,2278,113.0,15.5,toyota corona hardtop,1/01/1972,95.0,0.8627467453131281,127110.9793038886,3,0.006089289436117395,0.007023705004389816
25.0,4,USA,2126,97.5,17.0,dodge colt hardtop,1/01/1972,80.0,0.7585556943202628,112996.90000000001,3,0.005765014363929671,0.007525870178739417
23.0,4,Europe,2254,97.0,23.5,volkswagen type 3,1/01/1972,54.0,0.6157038719945085,121826.49393747322,5,0.006461774528446566,0.00709849157054126
20.0,4,USA,2408,140.0,19.5,chevrolet vega,1/01/1972,90.0,0.8560934243157199,129657.59669085342,3,0.0053424449033140226,0.006644518272425249
21.0,4,USA,2226,122.0,16.5,ford pinto runabout,1/01/1972,86.0,0.8688758864608418,113535.05422129502,3,0.0058659693156596915,0.0071877807726864335
13.0,8,USA,4274,350.0,12.0,chevrolet impala,1/01/1972,165.0,1.4648867983026508,329314.3958539881,3,0.0072134752044448166,0.014974262985493684
14.0,8,USA,4385,400.0,12.0,pontiac catalina,1/01/1972,175.0,1.5228787452803374,359727.15052900685,3,0.0072134752044448166,0.01459521094640821
15.0,8,USA,4135,318.0,13.5,plymouth fury iii,1/01/1972,150.0,1.3720933514894265,331105.7033735366,3,0.0066485940294251115,0.015477629987908102
14.0,8,USA,4129,351.0,13.0,ford galaxie 500,1/01/1972,153.0,1.4313637641589871,318950.8676605354,3,0.006819714384107116,0.015500121094696052
17.0,8,USA,3672,304.0,11.5,amc ambassador sst,1/01/1972,150.0,1.4221757432551418,277971.2052194414,3,0.007441944940807903,0.017429193899782137
11.0,8,USA,4633,429.0,11.0,mercury marquis,1/01/1972,208.0,1.591064607026499,355951.5982733443,3,0.007696552731115765,0.013813943449169004
13.0,8,USA,4502,350.0,13.5,buick lesabre custom,1/01/1972,155.0,1.4137342758552693,365386.6383665462,5,0.01006794074949662,0.014215904042647711
12.0,8,USA,4456,350.0,13.5,oldsmobile delta 88 royale,1/01/1972,160.0,1.4137342758552693,343914.8998383594,5,0.01006794074949662,0.01436265709156194
13.0,8,USA,4422,400.0,12.5,chrysler newport royal,1/01/1972,190.0,1.5051499783199058,352516.2625336499,3,0.007007137126891388,0.014473089099954772
19.0,3,Japan,2330,70.0,13.5,mazda rx2 coupe,1/01/1972,97.0,0.7147642715192506,118320.13237293983,3,0.0066485940294251115,0.0038626609442060085
15.0,8,USA,3892,304.0,12.5,amc matador (sw),1/01/1972,150.0,1.3859635706006972,293333.25202972814,3,0.007007137126891388,0.01644398766700925
13.0,8,USA,4098,307.0,14.0,chevrolet chevelle concours (sw),1/01/1972,130.0,1.3410103397989483,302751.00160918577,5,0.009712326548170112,0.015617374328940947
13.0,8,USA,4294,302.0,16.0,ford gran torino (sw),1/01/1972,140.0,1.2758869603012257,332403.63218680565,5,0.008597337435263986,0.014904517931998137
14.0,8,USA,4077,318.0,14.0,plymouth satellite custom (sw),1/01/1972,150.0,1.3562990843061944,310967.81712640997,3,0.006491630492608459,0.015697817022320332
18.0,4,Europe,2933,121.0,14.5,volvo 145e (sw),1/01/1972,112.0,0.9214173680814752,182486.34920948045,3,0.00634704488520105,0.005455165359699966
22.0,4,Europe,2511,121.0,18.0,volkswagen 411 (sw),1/01/1972,76.0,0.8275128652131439,147868.1945299683,3,0.005581106265512472,0.006371963361210673
21.0,4,Europe,2979,120.0,19.5,peugeot 504 (sw),1/01/1972,87.0,0.7891466346851067,203338.988164598,3,0.0053424449033140226,0.005370929842228936
26.0,4,Europe,2189,96.0,18.0,renault 12 (sw),1/01/1972,69.0,0.7269987279362623,122165.39441346165,3,0.005581106265512472,0.007309273640931932
22.0,4,USA,2395,122.0,16.0,ford pinto (sw),1/01/1972,86.0,0.8822398480188233,134521.71029370595,3,0.0059737997497751796,0.006680584551148226
28.0,4,Japan,2288,97.0,17.0,datsun 510 (sw),1/01/1972,92.0,0.7563228128879709,138503.59951349715,3,0.005765014363929671,0.006993006993006993
23.0,4,Japan,2506,120.0,14.5,toyouta corona mark ii (sw),1/01/1972,97.0,0.91781324381265,150589.97308169358,3,0.00634704488520105,0.006384676775738229
28.0,4,USA,2164,98.0,15.0,dodge colt (sw),1/01/1972,80.0,0.8151348166368135,123897.78231579128,3,0.0062133493455961185,0.0073937153419593345
27.0,4,Japan,2100,97.0,16.5,toyota corolla 1600 (sw),1/01/1972,88.0,0.7692877900523385,114575.16092068124,3,0.0058659693156596915,0.007619047619047619
13.0,8,USA,4100,350.0,13.0,buick century 350,1/01/1973,175.0,1.4301246920434387,303046.5847027483,3,0.006819714384107116,0.015609756097560976
14.0,8,USA,3672,304.0,11.5,amc matador,1/01/1973,150.0,1.4221757432551418,252254.75836893462,3,0.007441944940807903,0.017429193899782137
13.0,8,USA,3988,350.0,13.0,chevrolet malibu,1/01/1973,145.0,1.4301246920434387,286716.03342181473,3,0.006819714384107116,0.0160481444332999
14.0,8,USA,4042,302.0,14.5,ford gran torino,1/01/1973,137.0,1.3186389407221757,305651.5767698469,5,0.00939222236853531,0.01583374567046017
15.0,8,USA,3777,318.0,12.5,dodge coronet custom,1/01/1973,150.0,1.405517106976376,276254.65419254097,3,0.007007137126891388,0.016944665078104316
12.0,8,USA,4952,429.0,11.5,mercury marquis brougham,1/01/1973,198.0,1.5717594518311124,424738.7644664951,3,0.007441944940807903,0.012924071082390954
13.0,8,USA,4464,400.0,12.0,chevrolet caprice classic,1/01/1973,150.0,1.5228787452803374,359244.4375467422,3,0.0072134752044448166,0.014336917562724014
13.0,8,USA,4363,351.0,13.0,ford ltd,1/01/1973,158.0,1.4313637641589871,343172.2059869393,3,0.006819714384107116,0.014668805867522347
14.0,8,USA,4237,318.0,14.5,plymouth fury gran sedan,1/01/1973,150.0,1.3410591177494577,335854.3287373208,5,0.00939222236853531,0.015105027141845645
13.0,8,USA,4735,440.0,11.0,chrysler new yorker brougham,1/01/1973,215.0,1.6020599913279623,404186.3542246981,3,0.007696552731115765,0.01351636747624076
12.0,8,USA,4951,455.0,11.0,buick electra 225 custom,1/01/1973,225.0,1.6166187114988873,424567.23947502155,3,0.007696552731115765,0.012926681478489193
13.0,8,USA,3821,360.0,11.0,amc ambassador brougham,1/01/1973,175.0,1.5149098156090621,263205.9822468827,3,0.007696552731115765,0.016749542004710807
18.0,6,USA,3121,225.0,16.5,plymouth valiant,1/01/1973,105.0,1.1346985738974562,206630.1991261114,3,0.0058659693156596915,0.011534764498558154
16.0,6,USA,3278,250.0,18.0,chevrolet nova custom,1/01/1973,100.0,1.1426675035687315,214905.68,5,0.007806804414940534,0.010982306284319707
18.0,6,USA,2945,232.0,16.0,amc hornet,1/01/1973,100.0,1.1613680022349748,183982.64372701367,3,0.0059737997497751796,0.012224108658743633
18.0,6,USA,3021,250.0,16.5,ford maverick,1/01/1973,88.0,1.1804560644581312,193601.04957596806,3,0.0058659693156596915,0.011916583912611719
23.0,6,USA,2904,198.0,16.0,plymouth duster,1/01/1973,95.0,1.0925452076056061,202221.41567852598,3,0.0059737997497751796,0.012396694214876033
26.0,4,Europe,1950,97.0,21.0,volkswagen super beetle,1/01/1973,46.0,0.6645524395323256,96945.10850218282,3,0.005138983423697507,0.008205128205128205
11.0,8,USA,4997,400.0,14.0,chevrolet impala,1/01/1973,150.0,1.455931955649724,414080.75432398723,5,0.009712326548170112,0.01280768461076646
12.0,8,USA,4906,400.0,12.5,ford country,1/01/1973,167.0,1.5051499783199058,416884.4683104286,5,0.010913566679372913,0.013045250713412148
13.0,8,USA,4654,360.0,13.0,plymouth custom suburb,1/01/1973,170.0,1.4423591484604503,390476.08324993885,3,0.006819714384107116,0.013751611516974646
12.0,8,USA,4499,350.0,12.5,oldsmobile vista cruiser,1/01/1973,180.0,1.447158031342219,350584.4212805245,5,0.010913566679372913,0.014225383418537452
18.0,6,USA,2789,232.0,15.0,amc gremlin,1/01/1973,100.0,1.1893967258352183,165007.34840105893,3,0.0062133493455961185,0.012907852276801721
20.0,4,Japan,2279,97.0,19.0,toyota carina,1/01/1973,88.0,0.7080181333134158,116137.81540325486,3,0.005417626720578101,0.007020623080298377
21.0,4,USA,2401,140.0,19.5,chevrolet vega,1/01/1973,72.0,0.8560934243157199,132088.1847442856,3,0.0053424449033140226,0.006663890045814244
22.0,4,Japan,2379,108.0,16.5,datsun 610,1/01/1973,94.0,0.8159398112730434,132730.3467067142,3,0.0058659693156596915,0.006725514922236234
18.0,3,Japan,2124,70.0,13.5,maxda rx3,1/01/1973,90.0,0.7147642715192506,95700.73686246725,3,0.0066485940294251115,0.00423728813559322
19.0,4,USA,2310,122.0,18.5,ford pinto,1/01/1973,85.0,0.8191881022717343,116297.60326313695,3,0.0054970472946936685,0.006926406926406926
21.0,6,USA,2472,155.0,14.0,mercury capri v6,1/01/1973,107.0,1.0442036624920534,140015.6511776251,3,0.006491630492608459,0.014563106796116505
26.0,4,Europe,2265,98.0,15.5,fiat 124 sport coupe,1/01/1973,90.0,0.8008943775222033,130795.58692060772,3,0.006089289436117395,0.00706401766004415
15.0,8,USA,4082,350.0,13.0,chevrolet monte carlo s,1/01/1973,145.0,1.4301246920434387,322672.2627722532,3,0.006819714384107116,0.01567858892699657
16.0,8,USA,4278,400.0,9.5,pontiac grand prix,1/01/1973,230.0,1.6243363860391145,366025.68,3,0.00867543832763587,0.014960261804581581
29.0,4,Europe,1867,68.0,19.5,fiat 128,1/01/1973,49.0,0.5424743013437183,93855.0486570793,3,0.0053424449033140226,0.00856989823245849
24.0,4,Europe,2158,116.0,15.5,opel manta,1/01/1973,75.0,0.8741262910566269,114071.8555051052,3,0.006089289436117395,0.0074142724745134385
20.0,4,Europe,2582,114.0,14.0,audi 100ls,1/01/1973,91.0,0.9107768156582344,149072.48051229308,3,0.006491630492608459,0.006196746707978312
19.0,4,Europe,2868,121.0,15.5,volvo 144ea,1/01/1973,112.0,0.8924536721461584,179268.95991887053,3,0.006089289436117395,0.005578800557880056
15.0,8,USA,3399,318.0,11.0,dodge dart custom,1/01/1973,150.0,1.4610344348262074,223726.77534193438,3,0.007696552731115765,0.01882906737275669
24.0,4,Europe,2660,121.0,14.0,saab 99le,1/01/1973,110.0,0.936657334638212,173316.09624036655,3,0.006491630492608459,0.006015037593984963
20.0,6,Japan,2807,156.0,13.5,toyota mark ii,1/01/1973,122.0,1.0627908298594555,176185.36375647242,3,0.0066485940294251115,0.01282508015675098
11.0,8,USA,3664,350.0,11.0,oldsmobile omega,1/01/1973,180.0,1.5026753591920505,222626.71440771522,3,0.007696552731115765,0.017467248908296942
20.0,6,USA,3102,198.0,16.5,plymouth duster,1/01/1974,95.0,1.0791812460476247,215163.49450965886,3,0.0058659693156596915,0.01160541586073501
21.0,6,USA,2875,200.0,17.0,ford maverick,1/01/1974,105.08,1.0705810742857071,189389.2611430968,3,0.005765014363929671,0.012521739130434783
19.0,6,USA,2901,232.0,16.0,amc hornet,1/01/1974,100.0,1.1613680022349748,183418.13043974273,3,0.0059737997497751796,0.012409513960703205
15.0,6,USA,3336,250.0,17.0,chevrolet nova,1/01/1974,100.0,1.1674910872937636,215510.14434837172,5,0.008171433860822806,0.01079136690647482
31.0,4,Japan,1950,79.0,19.0,datsun b210,1/01/1974,67.0,0.6188734903376124,105857.11994830579,3,0.005417626720578101,0.008205128205128205
26.0,4,USA,2451,122.0,16.5,ford pinto,1/01/1974,80.0,0.8688758864608418,153159.27462488404,3,0.0058659693156596915,0.006527947776417789
32.0,4,Japan,1836,71.0,21.0,toyota corolla 1200,1/01/1974,65.0,0.5290390539851559,95343.33681098434,3,0.005138983423697507,0.008714596949891068
25.0,4,USA,2542,140.0,17.0,chevrolet vega,1/01/1974,75.0,0.915679114299964,161544.1,3,0.005765014363929671,0.006294256490952006
16.0,6,USA,3781,250.0,17.0,chevrolet chevelle malibu classic,1/01/1974,100.0,1.1674910872937636,285919.22,5,0.008171433860822806,0.009521290663845543
16.0,6,USA,3632,258.0,18.0,amc matador,1/01/1974,110.0,1.156347200859924,263828.48,5,0.007806804414940534,0.009911894273127754
18.0,6,USA,3613,225.0,16.5,plymouth satellite sebring,1/01/1974,105.0,1.1346985738974562,276912.2573982821,3,0.0058659693156596915,0.00996401882092444
16.0,8,USA,4141,302.0,14.0,ford gran torino,1/01/1974,140.0,1.3338789072789126,342957.62,3,0.006491630492608459,0.015455204056991065
13.0,8,USA,4699,350.0,14.5,buick century luxus (sw),1/01/1974,150.0,1.3827000421153006,398063.6954928072,5,0.00939222236853531,0.013619919131730156
14.0,8,USA,4457,318.0,13.5,dodge coronet custom (sw),1/01/1974,150.0,1.3720933514894265,371637.29498999467,3,0.0066485940294251115,0.014359434597262733
14.0,8,USA,4638,302.0,16.0,ford gran torino (sw),1/01/1974,140.0,1.2758869603012257,402434.78339909634,5,0.008597337435263986,0.013799051315222079
14.0,8,USA,4257,304.0,15.5,amc matador (sw),1/01/1974,150.0,1.2925418854384623,339032.49252164655,5,0.008838590540387778,0.015034061545689453
29.0,4,Europe,2219,98.0,16.5,audi fox,1/01/1974,83.0,0.7737421314785885,132581.7074445141,3,0.0058659693156596915,0.007210455159981974
26.0,4,Europe,1963,79.0,15.5,volkswagen dasher,1/01/1974,67.0,0.7072953931201499,98242.01862036758,3,0.006089289436117395,0.00815078960774325
26.0,4,Europe,2300,97.0,14.5,opel manta,1/01/1974,78.0,0.8254037320312698,134869.06613452916,3,0.00634704488520105,0.006956521739130435
31.0,4,Japan,1649,76.0,16.5,toyota corona,1/01/1974,52.0,0.663329648066885,75699.35211585878,3,0.0058659693156596915,0.009702850212249849
32.0,4,Japan,2003,83.0,19.0,datsun 710,1/01/1974,61.0,0.6403244914232449,113476.75080325837,3,0.005417626720578101,0.00798801797304044
28.0,4,USA,2125,90.0,14.5,dodge colt,1/01/1974,75.0,0.7928745072043498,119472.20764026043,3,0.00634704488520105,0.0075294117647058826
24.0,4,Europe,2108,90.0,15.5,fiat 128,1/01/1974,75.0,0.7639108112690334,108847.09388374868,3,0.006089289436117395,0.007590132827324478
26.0,4,Europe,2246,116.0,14.0,fiat 124 tc,1/01/1974,75.0,0.9183299535486804,128610.4276031551,3,0.006491630492608459,0.007123775601068566
24.0,4,Japan,2489,120.0,15.0,honda civic,1/01/1974,97.0,0.9030899869919434,151748.85344800664,3,0.0062133493455961185,0.0064282844515869825
26.0,4,Japan,2391,108.0,15.5,subaru,1/01/1974,93.0,0.8430920573166581,145752.43887943914,3,0.006089289436117395,0.006691760769552488
31.0,4,Europe,2000,79.0,16.0,fiat x1.9,1/01/1974,67.0,0.6935071086345166,111355.28725660044,3,0.0059737997497751796,0.008
19.0,6,USA,3264,225.0,16.0,plymouth valiant custom,1/01/1975,95.0,1.1480625354554377,232191.92119601753,3,0.0059737997497751796,0.011029411764705883
18.0,6,USA,3459,250.0,16.0,chevrolet nova,1/01/1975,105.0,1.1938200260161127,253809.21209501525,3,0.0059737997497751796,0.010407632263660017
15.0,6,USA,3432,250.0,21.0,mercury monarch,1/01/1975,72.0,1.0757207139381182,228092.07296619497,5,0.006968230667795635,0.01048951048951049
15.0,6,USA,3158,250.0,19.5,ford maverick,1/01/1975,72.0,1.1079053973095196,193125.61742163054,5,0.007347665157757977,0.011399620012666244
16.0,8,USA,4668,400.0,11.5,pontiac catalina,1/01/1975,170.0,1.5413621509743505,435804.48,3,0.007441944940807903,0.013710368466152529
15.0,8,USA,4440,350.0,14.0,chevrolet bel air,1/01/1975,145.0,1.3979400086720375,381752.2224689727,3,0.006491630492608459,0.014414414414414415
16.0,8,USA,4498,318.0,14.5,plymouth grand fury,1/01/1975,150.0,1.3410591177494577,404640.08,3,0.00634704488520105,0.014228546020453535
14.0,8,USA,4657,351.0,13.5,ford ltd,1/01/1975,148.0,1.414973347970818,405738.7604130524,3,0.0066485940294251115,0.0137427528451793
17.0,6,USA,3907,231.0,21.0,buick century,1/01/1975,110.0,1.041392685158225,314688.800824895,5,0.006968230667795635,0.009214230867673407
16.0,6,USA,3897,250.0,18.5,chevroelt chevelle malibu,1/01/1975,105.0,1.1307682802690238,303732.18,5,0.007643315102860291,0.009237875288683603
15.0,6,USA,3730,258.0,19.0,amc matador,1/01/1975,110.0,1.1328661050104012,269422.14998724585,5,0.007490630718728064,0.0096514745308311
18.0,6,USA,3785,225.0,19.0,plymouth fury,1/01/1975,95.0,1.0734289171585336,303905.12538912735,5,0.007490630718728064,0.009511228533685601
21.0,6,USA,3039,231.0,15.0,buick skyhawk,1/01/1975,110.0,1.187520720836463,211612.37032427127,3,0.0062133493455961185,0.011846001974333662
20.0,8,USA,3221,262.0,13.5,chevrolet monza 2+2,1/01/1975,110.0,1.2879675228247394,231988.49731751898,3,0.0066485940294251115,0.019869605712511642
13.0,8,USA,3169,302.0,12.0,ford mustang ii,1/01/1975,129.0,1.4008256969095256,181044.84311237457,3,0.0072134752044448166,0.020195645313979174
29.0,4,Japan,2171,97.0,16.0,toyota corolla,1/01/1975,75.0,0.7826517516103201,126907.89780371719,3,0.0059737997497751796,0.007369875633348687
23.0,4,USA,2639,140.0,17.0,ford pinto,1/01/1975,83.0,0.915679114299964,166998.55095134382,3,0.005765014363929671,0.0060629026146267525
20.0,6,USA,2914,232.0,16.0,amc gremlin,1/01/1975,100.0,1.1613680022349748,189873.38679869808,3,0.0059737997497751796,0.012354152367879203
23.0,4,USA,2592,140.0,18.5,pontiac astro,1/01/1975,78.0,0.8789563072752242,161103.10719720833,3,0.0054970472946936685,0.006172839506172839
24.0,4,Japan,2702,134.0,13.5,toyota corona,1/01/1975,96.0,0.9967710298698014,178832.44512070395,3,0.0066485940294251115,0.005921539600296077
